Version|Variant|Milliseconds|Ticks|ItemCount
5|1|950|9493343|1000000
5|1|907|9074808|1000000
5|1|955|9547697|1000000
5|1|954|9544908|1000000
5|1|975|9751194|1000000
5|1|937|9364555|1000000
5|1|1044|10441659|1000000
5|1|928|9275709|1000000
5|1|930|9306847|1000000
5|1|883|8824859|1000000
5|1|935|9357168|1000000
5|1|868|8676843|1000000
5|1|923|9232610|1000000
5|1|920|9199618|1000000
5|1|948|9477288|1000000
5|1|915|9151384|1000000
5|1|939|9382998|1000000
5|1|877|8770472|1000000
5|1|943|9436157|1000000
5|1|913|9124004|1000000
5|1|944|9442777|1000000
5|1|923|9232767|1000000
5|1|967|9672167|1000000
5|1|917|9169196|1000000
5|1|1013|10131141|1000000
5|1|995|9942936|1000000
5|1|1066|10659196|1000000
5|1|936|9363548|1000000
5|1|955|9548006|1000000
5|1|895|8949452|1000000
5|1|946|9462609|1000000
5|1|914|9136059|1000000
5|1|922|9222865|1000000
5|1|887|8870598|1000000
5|1|924|9245239|1000000
5|1|883|8822878|1000000
5|1|951|9514644|1000000
5|1|927|9272521|1000000
5|1|942|9410642|1000000
5|1|889|8894084|1000000
5|1|950|9496213|1000000
5|1|900|9001600|1000000
5|1|940|9404610|1000000
5|1|894|8935771|1000000
5|1|925|9256862|1000000
5|1|875|8744179|1000000
5|1|919|9193606|1000000
5|1|1230|12300197|1000000
5|1|1044|10434687|1000000
5|1|908|9088032|1000000
5|1|940|9395282|1000000
